"Code
Word","Size
(AWGor
kcmil)","Strand-
ing
(Al/Stl)",Diameter(ins.),,,,WeightPer1000ft.(lbs.),,,Content(%),,"Rated
Strength
(lbs.)","Resistance
OHMS/1000ft.",,"Allowable
Ampacity+
(Amps)"
Ortolan,1033.5,45/7,0.1515,0.101,0.3031,1.212,973,190,1163,83.67,16.33,27700,0.0167,0.0209,1043
Curlew,1033.5,54/7,0.1383,0.1383,0.415,1.245,973,356,1330,73.21,26.79,36600,0.0165,0.0211,1047
Bluejay,1113,45/7,0.1573,0.1048,0.3145,1.258,1048,205,1253,83.67,16.33,29800,0.0155,0.0194,1092
Finch,1113,54/19,0.1436,0.0861,0.4307,1.292,1053,375,1429,73.72,26.28,39100,0.0154,0.0197,1093
Bunting,1192.5,45/7,0.1628,0.1085,0.3256,1.302,1123,219,1343,83.67,16.33,32000,0.0144,0.0182,1139
Grackle,1192.5,54/19,0.1486,0.0892,0.4458,1.337,1129,402,1531,73.72,26.28,41900,0.0144,0.0184,1140
Bittern,1272,45/7,0.1681,0.1121,0.3362,1.345,1198,234,1432,83.67,16.33,34100,0.0135,0.0171,1184
Pheasant,1272,54/19,0.1535,0.0921,0.4605,1.381,1204,429,1633,73.71,26.29,43600,0.0135,0.0173,1187
Dipper,1351.5,45/7,0.1733,0.1155,0.3466,1.386,1273,248,1521,83.67,16.33,36200,0.0127,0.0162,1229
Martin,1351.5,54/19,0.1582,0.0949,0.4746,1.424,1279,456,1735,73.72,26.28,46300,0.0127,0.0163,1232
Bobolink,1431,45/7,0.1783,0.1189,0.3566,1.427,1348,263,1611,83.67,16.33,38300,0.012,0.0153,1272
Lapwing,1590,45/7,0.188,0.1253,0.3759,1.504,1498,292,1790,83.67,16.33,42200,0.0108,0.0139,1354
Falcon,1590,54/19,0.1716,0.103,0.5148,1.544,1505,536,2041,73.72,26.28,54500,0.0108,0.014,1359
Chukar,1780,84/19,0.1456,0.0874,0.4368,1.602,1685,386,2072,81.35,18.65,51000,0.0097,0.0125,1453
Bluebird,2156,84/19,0.1602,0.0962,0.4808,1.762,2040,468,2508,81.34,18.66,60300,0.00801,0.0105,1623
Kiwi,2167,72/7,0.1735,0.1157,0.347,1.735,2051,249,2300,89.17,10.82,49800,0.00801,0.0106,1607
Grouse,80,8/1,0.1,0.1667,0.1667,0.367,75,74,149,50.4,49.6,5190,0.2065,0.2888,205
Petrel,101.8,12/7,0.0921,0.0921,0.2763,0.461,96,158,254,37.8,62.2,10400,0.1583,0.2493,234
Minorca,110.8,12/7,0.0961,0.0961,0.2883,0.481,104,172,276,37.8,62.2,11300,0.1454,0.2331,245
Leghorn,134.6,12/7,0.1059,0.1059,0.3177,0.53,127,209,336,37.8,62.2,13600,0.1197,0.2,271
Guinea,159,12/7,0.1151,0.1151,0.3453,0.576,150,247,396,37.8,62.2,16000,0.1014,0.1757,296
Dotterel,176.9,12/7,0.1214,0.1214,0.3642,0.607,167,274,441,37.8,62.2,17300,0.0911,0.1618,313
Dorking,190.8,12/7,0.1261,0.1261,0.3783,0.631,180,296,476,37.8,62.2,18700,0.0845,0.153,325
Brahma,203.2,16/19,0.1127,0.0977,0.4885,0.714,191,483,675,28.4,71.6,28400,0.0764,0.1499,340
Cochin,211.3,12/7,0.1327,0.1327,0.3981,0.664,199,328,527,37.8,62.2,20700,0.0763,0.141,343
